product_id,title,product_url,price_current,price_old,currency,on_sale,in_stock,category,collection,image_url
35455,ТОП / FRUITTS,https://nikifilinistore.ru/product/top-fruitts/,1314.0,2190.0,RUB,True,True,Топы,Japanese Mood,
35465,ТОП / JOLLY ROGER,https://nikifilinistore.ru/product/top-jolly-roger/,1314.0,2190.0,RUB,True,True,Топы,Japanese Mood,
35415,ФУТБОЛКА | GOL D. ACE,https://nikifilinistore.ru/product/futbolka-gol-d-ace/,4194.0,6990.0,RUB,True,True,Футболки,Japanese Mood,
35475,ФУТБОЛКА | NEWGATE,https://nikifilinistore.ru/product/futbolka-newgate/,2490.0,4150.0,RUB,True,True,Футболки,Japanese Mood,
35435,ШТАНЫ / FIRE,https://nikifilinistore.ru/product/shtany-fire/,5694.0,9490.0,RUB,True,True,Другое,Japanese Mood,
35445,ШТАНЫ / FLAME,https://nikifilinistore.ru/product/shtany-flame/,5034.0,8390.0,RUB,True,True,Другое,Japanese Mood,
33936,РУБАШКА UNISEX / PINK,https://nikifilinistore.ru/product/rubashka-unisex-pink/,10590.0,,RUB,False,False,Другое,,
34027,ШОРТЫ UNISEX / GOD OF SHINOBI,https://nikifilinistore.ru/product/shorty-unisex-god-of-shinobi/,4194.0,6990.0,RUB,True,False,Другое,,
27610,КЕПКА / OTAKU VINTAGE YELLOW,https://nikifilinistore.ru/product/kepka-otaku-vintage-yellow/,2790.0,4650.0,RUB,True,False,Другое,,
19422,ПРИДВЕРНЫЙ КОВРИК MUZAN,https://nikifilinistore.ru/product/rug-muzan/,4763.0,6350.0,RUB,True,False,Другое,Japanese Mood,
41491,ПРИДВЕРНЫЙ КОВРИК / DARKSIDE BEAST,https://nikifilinistore.ru/product/pridvernyj-kovrik-darkside-beast/,4763.0,6350.0,RUB,True,False,Другое,,
41489,ПРИДВЕРНЫЙ КОВРИК / JIRAIYA,https://nikifilinistore.ru/product/pridvernyj-kovrik-jiraiya-2/,4763.0,6350.0,RUB,True,False,Другое,,
41487,ПРИДВЕРНЫЙ КОВРИК / MADARA SUSANOO,https://nikifilinistore.ru/product/pridvernyj-kovrik-madara-susanoo/,4763.0,6350.0,RUB,True,False,Другое,,
19424,ПРИДВЕРНЫЙ КОВРИК MUZAN TXT,https://nikifilinistore.ru/product/rug-muzan-txt/,4763.0,6350.0,RUB,True,False,Другое,Japanese Mood,
34035,ШОРТЫ UNISEX | PINK,https://nikifilinistore.ru/product/shorty-unisex-pink/,3534.0,5890.0,RUB,True,False,Другое,,
33976,СВИТШОТ / REBIRTH,https://nikifilinistore.ru/product/svitshot-rebirth/,4074.0,6790.0,RUB,True,True,Свитшоты,Japanese Mood,
34135,ВЫШИТЫЙ ХУДИ / SHINIGAMI,https://nikifilinistore.ru/product/vyshityj-hudi-shinigami/,15590.0,,RUB,False,False,Другое,,
33859,ЗИП-ХУДИ / DARK KNIGHT (STONE WASH),https://nikifilinistore.ru/product/zip-hudi-dark-knight-stone-wash/,11555.0,19259.0,RUB,True,False,Худи,Berserk,
33873,ЗИП-ХУДИ / SKULL KNIGHT (STONE WASH),https://nikifilinistore.ru/product/zip-hudi-skull-knight-stone-wash/,12594.0,20990.0,RUB,True,False,Худи,Berserk,
33887,ФУТБОЛКА / DRAGON SLAYER (STONE WASH),https://nikifilinistore.ru/product/futbolka-dragon-slayer-stone-wash/,3810.0,6350.0,RUB,True,False,Футболки,Berserk,
33899,ШТАНЫ / BERSERK (STONE WASH),https://nikifilinistore.ru/product/shtany-berserk-stone-wash/,8094.0,13490.0,RUB,True,True,Другое,Berserk,
33374,СВИТЕР / GAMA,https://nikifilinistore.ru/product/sviter-gama/,18590.0,,RUB,False,False,Другое,Japanese Mood,
33372,СВИТЕР / GAMA BLUE,https://nikifilinistore.ru/product/sviter-gama-blue/,18590.0,,RUB,False,False,Другое,Japanese Mood,
33998,ХУДИ / THE FIRST,https://nikifilinistore.ru/product/hudi-the-first/,6954.0,11590.0,RUB,True,False,Худи,,
33479,ВЫШИТЫЙ ХУДИ LOT 22,https://nikifilinistore.ru/product/vyshityj-hudi-lot-22/,9834.0,16390.0,RUB,True,False,Худи,,
33535,ЗИП-ХУДИ / GOD OF SHINOBI,https://nikifilinistore.ru/product/zip-hudi-god-of-shinobi/,8874.0,14790.0,RUB,True,True,Худи,,
33591,ХУДИ / DARK SASUKE,https://nikifilinistore.ru/product/hudi-dark-sasuke/,,,RUB,False,True,Худи,,
33465,ХУДИ / DARK SUPREME,https://nikifilinistore.ru/product/hudi-dark-supreme/,15590.0,,RUB,False,False,Другое,,
33577,ХУДИ / HATAKE LEGACY / VOL.3,https://nikifilinistore.ru/product/hudi-hatake-legacy-vol-3/,9354.0,15590.0,RUB,True,True,Худи,,
34726,HOODIE / HYUGA HINATA,https://nikifilinistore.ru/product/hoodie-hyuga-hinata/,12650.0,,RUB,False,False,Другое,,
33209,ФУТБОЛКА / AMANE AURUM,https://nikifilinistore.ru/product/futbolka-amane-aurum/,3810.0,6350.0,RUB,True,False,Футболки,Japanese Mood,
32338,СВИТШОТ / STAINED GLASS,https://nikifilinistore.ru/product/svitshot-stained-glass/,5214.0,8690.0,RUB,True,True,Свитшоты,Japanese Mood,
