mentor_id,slug,profile_url,name,title,company,city,timezone,price,currency,reviews_count,sessions_count,categories,skills
26140,sribyanik,https://solvery.io/ru/mentor/sribyanik,Юлия Срибяник,Head of User growth,Авито,Москва,Europe/Moscow,11665,rub,1,6,,"Управление командой, Управление продуктом, Маркетинг, JTBD, Customer Journey Map, Мотивация команды, Маркетинг: стратегия, Маркетинг: процессы, Маркетинг: найм, Маркетинг: анализ конкурентов, Маркетинг: сегментация, Маркетинг: персоны, Email Маркетинг, CRM Маркетинг, CJM, Маркетинговая аналитика"
23329,olga_permyakova,https://solvery.io/ru/mentor/olga_permyakova,Ольга Пермякова,"Консультант по маркетингу и стратегии (ex. CMO Skyeng, Ingate, ГК Softline: Aflex, Robovoice)",Tech-компании,Москва,Europe/Moscow,11665,rub,1,14,,"Управление командой, Маркетинг, Customer Journey Map, Прохождение собеседований, Мотивация команды, Развитие карьеры, Юнит-экономика, Growth hacking, Маркетинг: стратегия, Маркетинг: процессы, Маркетинг: найм, Маркетинг: трекинг, Стартапы: продвижение, Стартапы: трекинг, EdTech, Маркетинг: исследования, Маркетинг: сегментация, Карьера: Составление резюме, People management, Масштабирование команды, Ценностное предложение, Стратегический маркетинг, Операционный маркетинг , Позиционирование на рынке, B2B-маркетинг, Сегментация клиентов"
20966,elenakotina,https://solvery.io/ru/mentor/elenakotina,Елена Тупикова,"CPO, бизнес-коуч, ментор менеджеров и стартапов",Яндекс,Москва,Europe/Moscow,11665,rub,3,20,,"Управление командой, Управление продуктом, Управление проектами, JTBD, MVP, Customer Journey Map, Kanban, Scrum, Процессы разработки и тестирования, Прохождение собеседований, Мотивация команды, Customer development, Agile, Управление проектным офисом, Распределённая команда, Управление знаниями в команде, HR: подбор и адаптация, HR: обучение и развитие, HR: формирование команд, CPO, Развитие карьеры, Продуктовые метрики, Продуктовая стратегия, User Story, Тестирование продуктовых гипотез, Коучинг, Коучинг: лайф-коучинг, Коучинг: бизнес-коучинг, Коучинг: целеполагание, Стратегическое планирование, Найм команды, Оценка эффективности организации, CJM, Карьерное консультирование"
9866,averyanova_anna,https://solvery.io/ru/mentor/averyanova_anna,Анна Аверьянова,Chief Marketing Officer (CMO),Beautyliner Group,Москва ,Europe/Moscow,11665,rub,0,47,,"Управление командой, Управление продуктом, Маркетинг, Scrum, Маркетинг: стратегия, Маркетинг: процессы, Маркетинг: контент, Маркетинг: инфлюенс, Продажи, Маркетинг: исследования, Маркетинг: анализ конкурентов, Маркетинг: персоны, Маркетинговый аудит, Таргетированная реклама: VK, Таргетированная реклама: Instagram, ChatGPT, smm, KPI и OKR"
5393,over_chernova,https://solvery.io/ru/mentor/over_chernova,Екатерина Чернова,Наставник ,,Новосибирск,Asia/Bangkok,11665,rub,8,138,,"Управление командой, Управление продуктом, Управление проектами, Less, MVP, Продуктовая аналитика, Customer Journey Map, Подготовка технических докладов, Kanban, Scrum, Процессы разработки и тестирования, Прохождение собеседований, A/B testing, Аналитика, Customer development, Agile, Управление организационными изменениями, Распределённая команда, Управление знаниями в команде, HR: мотивация сотрудников, CPO, Управление документацией, Менеджмент 3.0, Развитие карьеры, Юнит-экономика, Customer experience, Продуктовая стратегия, Маркетинг: трекинг, Публичные выступления, Стартапы: продвижение, Стартапы: запуск, Стартапы: трекинг, Confluence, Построение системы менторинга, Lean, Продажи, IT риски, Управление ИТ, IT аудит, User Story, Маркетинг: анализ конкурентов, Тестирование продуктовых гипотез, Маркетинг: сегментация, Тайм-менеджмент, Эффективность организации, Фасилитация, Масштабирование команды"
1183,asychev,https://solvery.io/ru/mentor/asychev,Александр Сычев,Руководитель разработки,Яндекс.такси,Москва,Europe/Moscow,11957,rub,0,196,,"Мобильная разработка, Управление командой, Управление проектами, Clean Architecture, Module architecture, Подготовка технических докладов, Процессы разработки и тестирования, Прохождение собеседований, CI/CD, Паттерны проектирования, iOS, Swift, Xcode, Мотивация команды, Publishing Apps, Software Architecture, Управление организационными изменениями, Управление знаниями в команде, Публичные выступления, Построение системы менторинга, Дизайн систем, настройка процессов в команде, iOS SDK, MVC, Delivery managment, Развитие личного бренда, XCUITest"
24573,vlselivanov,https://solvery.io/ru/mentor/vlselivanov,Владимир Селиванов,CTO,platferrum.ru,Новосибирск,Asia/Krasnoyarsk,13123,rub,0,0,,"DevOps, Бэкенд, Управление командой, Базы данных, Kanban, Scrum, Maven, Автоматизация тестирования, Процессы разработки и тестирования, Spring Framework, CI/CD, Мотивация команды, Yandex.Cloud, Agile, GraphQL, Распределённая команда, Управление знаниями в команде, CTO, HR: мотивация сотрудников, HR: внутренняя коммуникация и корпоративная культура, Управление ИТ, Развитие soft skills, People management, Переговоры, Тайм-менеджмент, Масштабирование команды, Аналитика данных, datalens, BI-системы, Kibana"
22432,vkatsman,https://solvery.io/ru/mentor/vkatsman,Виктор Кацман,"CEO Inream, ex-Yandex, PhD",,Хайфа,Asia/Jerusalem,13123,rub,0,0,,"Data Science, Управление продуктом, Системная аналитика, PostgreSQL, JTBD, Производительность, C++, Kotlin, Java, MVP, Продуктовая аналитика, OpenCV, Прохождение собеседований, NLP, CNN, FCNN, Рекомендательные Системы, Аналитика, UX: анализ конкурентов, Аналитика данных"
5282,znbiz,https://solvery.io/ru/mentor/znbiz,Алексей Некрасов,Руководитель Центра архитектуры,MWS AI,Москва,Europe/Moscow,14000,rub,0,27,,"Бэкенд, Управление командой, Системная аналитика, Python, Git, SQL, Производительность, REST API, Доступность сайтов, Docker, CD, CI, Microservices, Architecture, Gitflow, CI/CD, Архитектура процессов, Паттерны проектирования, СУБД, UML, large language model (LLM), LLM (large language models)"
159,andrey_rychkov,https://solvery.io/ru/mentor/andrey_rychkov,Андрей Рычков,Chief Technology Officer,Aesty AI,Лос-Анджелес,America/Los_Angeles,14582,rub,2,42,,"Мобильная разработка, iOS, Swift"
